"expt_date,05/12/2024 12:48"
"subj_name,12"
"sustattn,True"
"changedetect,True"
"seed,1715489303"
"restarting,False"
"env,other"
"save_dir,./../subjects/12/data/beh/"
"debug,False"
"project_dir,./../"

"expt_date,05/12/2024 12:49"
"subj_name,12"
"sustattn,True"
"changedetect,True"
"seed,1715489340"
"restarting,False"
"env,other"
"save_dir,./../subjects/12/data/beh/"
"debug,False"
"project_dir,./../"

"expt_date,05/12/2024 12:49"
"subj_name,12"
"sustattn,True"
"changedetect,True"
"seed,1715489357"
"restarting,False"
"env,other"
"save_dir,./../subjects/12/data/beh/"
"debug,False"
"project_dir,./../"

